LOCATION,BOROUGH,POST TOWN,POSTCODE DISTRICT,DIAL CODE,OS GRID REF
Abbey Wood,Greenwich,LONDON,SE2,20,TQ465785
Acton,Ealing,LONDON,"W3, W4",20,TQ205805
Aldgate,City,LONDON,EC3,20,TQ334813
Aldwych,Westminster,LONDON,WC2,20,TQ307810
Anerley,Bromley,LONDON,SE20,20,TQ345695
Angel,Islington,LONDON,"EC1, N1",20,TQ345665
Archway,Islington,LONDON,N19,20,TQ285875
Arnos Grove,Enfield,LONDON,"N11, N14",20,TQ295925
Balham,Wandsworth,LONDON,SW12,20,TQ285735
Bankside,Southwark,LONDON,SE1,20,TQ325795
Barbican,City,LONDON,EC1,20,TQ322818
Barnes,Richmond upon Thames,LONDON,SW13,20,TQ225765
Barnsbury,Islington,LONDON,N1,20,TQ305845
Battersea,Wandsworth,LONDON,SW11,20,TQ285765
Bayswater,Westminster,LONDON,W2,20,TQ255805
Bedford Park,Ealing,LONDON,W4,20,TQ208793
Belgravia,Westminster,LONDON,SW1,20,TQ275795
Bellingham,Lewisham,LONDON,SE6,20,TQ375715
Belsize Park,Camden,LONDON,NW3,20,TQ273845
Bermondsey,Southwark,LONDON,SE1,20,TQ335795
Bethnal Green,Tower Hamlets,LONDON,E2,20,TQ345825
Blackfriars,City,LONDON,EC4,20,TQ318808
Blackheath,Lewisham,LONDON,SE3,20,TQ395765
Blackheath Park,Greenwich,LONDON,"SE3, SE12",20,TQ399753
Blackwall,Tower Hamlets,LONDON,E14,20,TQ385805
Bloomsbury,Camden,LONDON,WC1,20,TQ305825
Bounds Green,Haringey,LONDON,"N11, N22",20,TQ298914
Bow,Tower Hamlets,LONDON,E3,20,TQ365825
Bowes Park,Haringey,LONDON,N22,20,TQ305915
Brent Cross,Barnet,LONDON,"NW2, NW4",20,TQ230874
Brent Park,Brent,LONDON,NW10,20,TQ209852
Brixton,Lambeth,LONDON,"SW2, SW9",20,TQ315755
Brockley,Lewisham,LONDON,SE4,20,TQ365745
Bromley (also Bromley-by-Bow),Tower Hamlets,LONDON,E3,20,TQ375825
Brompton,Kensington and Chelsea,LONDON,SW3,20,TQ275795
Brondesbury,Brent,LONDON,NW6,20,TQ245845
Brunswick Park,Barnet,LONDON,N11,20,TQ280932
"Burroughs, The",Barnet,LONDON,NW4,20,TQ227891
Camberwell,Southwark,LONDON,SE5,20,TQ325767
Cambridge Heath,Tower Hamlets,LONDON,E2,20,TQ348832
Camden Town,Camden,LONDON,NW1,20,TQ295845
Canary Wharf,Tower Hamlets,LONDON,E14,20,TQ375802
Cann Hall,Waltham Forest,LONDON,E11,20,TQ395875
Canning Town,Newham,LONDON,E16,20,TQ405815
Canonbury,Islington,LONDON,N1,20,TQ325845
Castelnau,Richmond upon Thames,LONDON,SW13,20,TQ226776
